"Borrower ID","Product","Acquired","Market","Type of loan","Term","Loan size","Loan status","Borrower origination fee","Borrower rate","Loan servicing fee","Investor rate","Transaction price","Transaction date","Amount invested","Capital outstanding","Interest outstanding","Amount repaid","Capital repaid","Interest repaid","Amount in arrears","Days in arrears","Repayment day","Covered by Safeguard","Comment","Loan start date","Last repayment date","Default price","Default date","Monthly repayment amount","Type of asset","Loan purpose","Percentage repaid"
"a4d5a2e11180","Zopa Plus","14-12-2018","A*","Unsecured","11","6312.0","Closed","0.0","0.1161","0.0741","0.042","","","20.0","0.0","0.0","20.59929561","20.0","0.59929561","0.0","","28","false","","14-12-2018","28-11-2019","","","1.92002527","","Other","1.0"
"fdd2c6d2e9c8","Zopa Plus","14-12-2018","A*","Unsecured","11","3568.0","Closed","0.0","0.1161","0.0741","0.042","","","20.0","0.0","0.0","20.32437768","20.0","0.32437768","0.0","","25","false","","14-12-2018","25-11-2019","","","1.92002527","","Other","1.0"
"91bce9384441","Zopa Plus","14-12-2018","A*","Unsecured","11","1600.0","Closed","0.0","0.1161","0.0741","0.042","","","20.0","0.0","0.0","20.41841166","20.0","0.41841166","0.0","","14","false","","14-12-2018","14-11-2019","","","1.92002527","","Other","1.0"
"fbc4a5a38472","Zopa Plus","18-12-2018","A*","Unsecured","11","1960.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.59759205","30.0","0.59759205","0.0","","18","false","[19/02/2019] Borrower has been notified of missed payment.[21/01/2019] Borrower has been notified of missed payment.","18-12-2018","18-11-2019","","","2.88003791","","Other","1.0"
"c07e8f7f9286","Zopa Plus","18-12-2018","A*","Unsecured","11","1364.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.62761754","30.0","0.62761754","0.0","","18","false","","18-12-2018","18-11-2019","","","2.88003791","","Other","1.0"
"01f6c3695f31","Zopa Plus","18-12-2018","A*","Unsecured","11","2492.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","30.62761754","30.0","0.62761754","0.0","","18","false","","18-12-2018","18-11-2019","","","2.88003791","","Other","1.0"
"dddff21fe610","Zopa Plus","27-12-2018","A*","Unsecured","11","4680.0","Closed","0.0","0.1161","0.0741","0.042","","","20.0","0.0","0.0","20.41841166","20.0","0.41841166","0.0","","27","false","","27-12-2018","27-11-2019","","","1.92002527","","Other","1.0"
"84a4e35fd996","Zopa Plus","14-12-2018","A*","Unsecured","60","6500.0","Withdrawn","50.0","0.0321","0.003","0.0291","","","20.0","15.29219592","0.856852518789994","5.34746295","4.70780408","0.63965887","0.0","","14","false","","14-12-2018","14-12-2023","","","0.36083075","","Car","0.235390204"
"9ed5c1d405f5","Zopa Plus","24-12-2018","A*","Unsecured","11","1960.0","Closed","0.0","0.1161","0.0741","0.042","","","20.0","0.0","0.0","20.76924885","20.0","0.76924885","0.0","","24","false","[25/09/2019] Borrower has been notified of missed payment.[25/07/2019] Borrower has been notified of missed payment.[25/06/2019] Borrower has been notified of missed payment.[25/04/2019] Borrower has been notified of missed payment.[25/01/2019] Borrower has been notified of missed payment.","24-12-2018","24-11-2019","","","1.92002527","","Other","1.0"
"be88df9abf0f","Zopa Plus","18-12-2018","A*","Unsecured","11","1960.0","Closed","0.0","0.1161","0.0741","0.042","","","30.0","0.0","0.0","31.16364193","30.0","1.16364193","0.0","","28","false","[21/05/2019] Borrower has been notified of missed payment.[19/03/2019] Borrower has been notified of missed payment.[19/02/2019] Borrower has been notified of missed payment.","18-12-2018","28-11-2019","","","2.8800379","","Other","1.0"
